Marker;MedianMs;MeanMs;LowerQuartileMs;UpperQuartileMs;MaxMs;Count;CountPerFrame;PresentFrames;SelectedFrames
"System.Core.dll!System.Collections.Generic::HashSet`1.AddIfNotPresent()";6.6724;6.7258;6.2819;6.9446;7.9797;89866;5616.625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPresentationDataBuilder.BuildTileFeatureVisualStates()";6.6465;6.478907;6.3694;7.0303;8.0332;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::DefaultEnemyAiStateResolver.Game.Feature.Gameplay.Entities.IEnemyAiStateResolver.Resolve()";6.6237;7.05684;6.458;6.7872;12.7003;1356;84.75;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::DefaultEnemyAiStateResolver.Resolve()";6.6027;7.024427;6.4366;6.7646;12.6738;1356;84.75;15;16
"mscorlib.dll!System.Collections.Generic::List`1.Sort()";6.5718;6.771073;6.3069;6.8124;7.9329;8037;502.3125;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::DefaultEnemyAiStateResolver.ResolveBeforeMovement()";6.5111;6.899387;6.3448;6.6745;12.5673;452;28.25;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::DefaultEnemyAiStateResolver.TryResolveCombatReadiness()";6.4898;6.852927;6.3254;6.6532;12.5362;452;28.25;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::CrossLineOfSightOpponentDetectionStrategy.Game.Feature.Gameplay.Entities.IDetectionStrategy.TryFindTarget()";6.4177;6.755353;6.2527;6.5716;12.4392;339;21.1875;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::CrossLineOfSightOpponentDetectionStrategy.TryFindTarget()";6.4119;6.740113;6.2466;6.565;12.4306;339;21.1875;15;16
"Game.Feature.Stages.dll!Game.Feature.Stages::SaveSlotDtoMapper.FromDto()";6.4081;6.38346;6.1645;6.96;8.0341;791;49.4375;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.BuildOrderedTileFeaturesCache()";6.3515;6.115793;6.0162;6.4806;7.5377;226;14.125;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayCubeProjector.TryProjectEntityCell()";6.3485;6.063327;5.9729;6.5478;7.2621;9039;564.9375;15;16
